"","Measurement.Time","Value","Loc"
"1",2016-11-12,18.34,"PC"
"2",2016-11-12,19.95,"PC"
"3",2016-11-12,20.87,"PC"
"4",2016-11-12,21.02,"PC"
"5",2016-11-12,21.37,"PC"
"6",2016-11-12,20.9,"PC"
"7",2016-11-12,18.02,"PC"
"8",2016-11-12,17.96,"PC"
"9",2016-11-12,16.95,"PC"
"10",2016-11-12,16.87,"PC"
"11",2016-11-12,16.83,"PC"
"12",2016-11-12,16.72,"PC"
"13",2016-11-12,16.52,"PC"
"14",2016-11-12,16.25,"PC"
"15",2016-11-12,16.05,"PC"
"16",2016-11-12,15.93,"PC"
"17",2016-11-12,15.72,"PC"
"18",2016-11-12,15.83,"PC"
"19",2016-11-12,16.06,"PC"
"20",2016-11-12,16.15,"PC"
"21",2016-11-12,16.45,"PC"
"22",2016-11-12,16.24,"PC"
"23",2016-11-12,15.84,"PC"
"24",2016-11-12,15.59,"PC"
"25",2016-11-12,15.35,"PC"
"26",2016-11-12,15.13,"PC"
"27",2016-11-12,15.22,"PC"
"28",2016-11-12,15.15,"PC"
"29",2016-11-12,14.99,"PC"
"30",2016-11-12,14.86,"PC"
"31",2016-11-12,14.78,"PC"
"32",2016-11-12,14.74,"PC"
"33",2016-11-12,14.72,"PC"
"34",2016-11-12,14.84,"PC"
"35",2016-11-12,14.79,"PC"
"36",2016-11-12,14.84,"PC"
"37",2016-11-12,14.89,"PC"
"38",2016-11-12,14.79,"PC"
"39",2016-11-12,14.52,"PC"
"40",2016-11-12,14.43,"PC"
"41",2016-11-12,14.27,"PC"
"42",2016-11-12,14.12,"PC"
"43",2016-11-12,14.11,"PC"
"44",2016-11-12,14.04,"PC"
"45",2016-11-12,14.05,"PC"
"46",2016-11-12,14.06,"PC"
"47",2016-11-12,14.11,"PC"
"48",2016-11-13,14.17,"PC"
"49",2016-11-13,14.31,"PC"
"50",2016-11-13,14.47,"PC"
"51",2016-11-13,15.02,"PC"
"52",2016-11-13,15.38,"PC"
"53",2016-11-13,15.63,"PC"
"54",2016-11-13,16.01,"PC"
"55",2016-11-13,16.36,"PC"
"56",2016-11-13,16.87,"PC"
"57",2016-11-13,17.5,"PC"
"58",2016-11-13,17.9,"PC"
"59",2016-11-13,17.87,"PC"
"60",2016-11-13,17.88,"PC"
"61",2016-11-13,18.03,"PC"
"62",2016-11-13,18.05,"PC"
"63",2016-11-13,18.01,"PC"
"64",2016-11-13,17.75,"PC"
"65",2016-11-13,17.7,"PC"
"66",2016-11-13,17.05,"PC"
"67",2016-11-13,16.51,"PC"
"68",2016-11-13,16.26,"PC"
"69",2016-11-13,16.27,"PC"
"70",2016-11-13,16.24,"PC"
"71",2016-11-13,16.15,"PC"
"72",2016-11-13,16.15,"PC"
